Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,AssetType,FetchDate,Timeframe,Interval
2024-05-03 00:00:00,14.985080717672725,15.089077796193425,14.74872298333488,14.937808990478516,11332100,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-05-06 00:00:00,15.107984972718718,15.136348548187767,14.84326457977295,14.84326457977295,8600900,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-05-07 00:00:00,15.003991203204162,15.06071746499429,14.814905166625977,14.814905166625977,5280200,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-05-08 00:00:00,14.758178289939986,14.985082426013246,14.691998405303325,14.975627899169922,6546100,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-05-09 00:00:00,14.966172217901397,15.07016930025617,14.909446864483607,15.013443946838379,6140000,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-05-10 00:00:00,15.032352300741282,15.070169504075686,14.890538013645575,14.92835521697998,4961900,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-05-13 00:00:00,15.032352300741282,15.183621114078901,14.899992539887489,14.92835521697998,6181100,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-05-14 00:00:00,15.079625129699707,15.089079656630904,14.890539099242341,15.079625129699707,6034400,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-05-15 00:00:00,15.18362085557644,15.268709787038517,15.079623773585698,15.107986450195312,4480000,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-05-16 00:00:00,15.079624378891188,15.211985044437817,15.032352648222158,15.041807174682617,2930700,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-05-17 00:00:00,15.098532476224435,15.193075029945616,15.032351696823074,15.13634967803955,3472500,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-05-20 00:00:00,15.164713456976859,15.325434988966975,15.06071547437954,15.098532676696777,4522600,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-05-21 00:00:00,15.126894906850962,15.372707165479257,15.117440381142213,15.363252639770508,3941800,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-05-22 00:00:00,15.363253653049469,15.391617232046428,15.013444293452949,15.126895904541016,3035100,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-05-23 00:00:00,15.24979924353138,15.24979924353138,14.758175656632094,14.84326457977295,3730900,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-05-24 00:00:00,14.881081988582626,14.994533587159008,14.871627463292972,14.94726276397705,1682400,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-05-28 00:00:00,14.918901502789954,15.041807645724994,14.710907323946003,14.824358940124512,3704600,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-05-29 00:00:00,14.559636466439734,14.758177004692694,14.484002061546532,14.720359802246094,8555200,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-05-30 00:00:00,14.918901502789954,14.966173234939323,14.729815475825772,14.824358940124512,2838000,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-05-31 00:00:00,14.881084434003288,15.022899631753239,14.824359076209952,14.975627899169922,4797600,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-06-03 00:00:00,15.041806270294172,15.1268952000558,14.739268654815685,14.852720260620117,5208200,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
